#IMAGE_ID, X, Y, Z
142.000 -0.082 -0.057 0.421
194.000 2.116 0.095 -0.217
143.000 -0.052 -0.056 0.417
144.000 -0.033 -0.056 0.413
239.000 3.885 0.249 -1.124
292.000 5.753 0.446 -2.432
145.000 0.014 -0.054 0.405
247.000 4.201 0.283 -1.280
147.000 0.111 -0.049 0.389
265.000 4.814 0.345 -1.685
148.000 0.159 -0.042 0.380
150.000 0.258 -0.038 0.359
151.000 0.298 -0.034 0.349
203.000 2.496 0.121 -0.385
152.000 0.327 -0.034 0.341
153.000 0.376 -0.032 0.328
155.000 0.475 -0.023 0.303
156.000 0.524 -0.019 0.289
157.000 0.571 -0.016 0.277
226.000 3.426 0.209 -0.867
158.000 0.609 -0.015 0.264
159.000 0.637 -0.011 0.258
185.000 1.763 0.070 -0.081
160.000 0.687 -0.004 0.247
164.000 0.876 0.008 0.202
165.000 0.914 0.013 0.193
218.000 3.114 0.179 -0.691
166.000 0.943 0.015 0.187
167.000 0.991 0.014 0.172
168.000 1.040 0.019 0.159
169.000 1.086 0.019 0.142
170.000 1.133 0.022 0.130
173.000 1.242 0.028 0.099
176.000 1.376 0.039 0.055
177.000 1.424 0.044 0.038
178.000 1.471 0.046 0.019
205.000 2.587 0.134 -0.429
179.000 1.509 0.048 0.006
180.000 1.537 0.053 -0.004
181.000 1.582 0.053 -0.022
182.000 1.630 0.061 -0.036
183.000 1.675 0.066 -0.051
184.000 1.717 0.067 -0.066
186.000 1.799 0.070 -0.095
187.000 1.825 0.075 -0.105
189.000 1.917 0.079 -0.137
241.000 3.976 0.263 -1.162
266.000 4.853 0.350 -1.719
299.000 -5.147 -0.187 0.404
190.000 1.962 0.082 -0.156
195.000 2.162 0.099 -0.236
196.000 2.206 0.100 -0.258
197.000 2.249 0.103 -0.278
198.000 2.295 0.103 -0.299
200.000 2.379 0.115 -0.332
201.000 2.407 0.112 -0.343
204.000 2.541 0.124 -0.407
206.000 2.633 0.135 -0.451
207.000 2.669 0.136 -0.465
233.000 3.695 0.237 -1.012
209.000 2.739 0.145 -0.502
210.000 2.782 0.146 -0.526
212.000 2.870 0.153 -0.569
280.000 5.360 0.401 -2.096
213.000 2.914 0.159 -0.592
215.000 2.979 0.168 -0.620
216.000 3.025 0.170 -0.645
228.000 3.485 0.214 -0.896
217.000 3.070 0.180 -0.668
220.000 3.190 0.182 -0.732
221.000 3.214 0.184 -0.749
222.000 3.257 0.189 -0.771
282.000 5.434 0.412 -2.156
223.000 3.301 0.196 -0.795
276.000 5.225 0.396 -2.000
224.000 3.345 0.198 -0.816
225.000 3.386 0.203 -0.845
230.000 3.568 0.223 -0.945
231.000 3.609 0.223 -0.967
232.000 3.651 0.230 -0.986
234.000 3.731 0.238 -1.032
237.000 3.819 0.244 -1.078
238.000 3.844 0.243 -1.095
298.000 -5.919 -0.187 0.238
242.000 4.009 0.266 -1.185
244.000 4.078 0.273 -1.215
257.000 4.537 0.310 -1.483
245.000 4.119 0.269 -1.238
246.000 4.160 0.279 -1.262
248.000 4.241 0.286 -1.300
249.000 4.272 0.284 -1.320
250.000 4.294 0.286 -1.341
251.000 4.333 0.290 -1.358
254.000 4.448 0.310 -1.423
255.000 4.488 0.308 -1.443
256.000 4.513 0.316 -1.471
259.000 4.615 0.322 -1.533
260.000 4.648 0.325 -1.566
261.000 4.685 0.329 -1.592
263.000 4.751 0.336 -1.641
267.000 4.889 0.355 -1.756
268.000 4.930 0.353 -1.784
270.000 5.003 0.364 -1.840
271.000 5.028 0.368 -1.852
272.000 5.068 0.374 -1.881
274.000 5.144 0.377 -1.941
275.000 5.182 0.387 -1.974
277.000 5.257 0.387 -2.025
278.000 5.278 0.402 -2.048
279.000 5.316 0.399 -2.076
281.000 5.395 0.411 -2.134
285.000 5.522 0.419 -2.229
287.000 5.598 0.435 -2.288
289.000 5.671 0.440 -2.351
290.000 5.707 0.444 -2.378
291.000 5.734 0.454 -2.404
293.000 5.789 0.457 -2.461
294.000 5.825 0.465 -2.489
295.000 -4.945 -0.185 0.433
296.000 -5.019 -0.181 0.421
297.000 -5.106 -0.178 0.404
301.000 -4.979 -0.179 0.427
