#FRAME_ID, X, Y, Z
988.000 -5.070 0.107 0.518
122.000 4.979 -0.039 -0.161
242.000 3.658 -0.055 -0.191
123.000 4.968 -0.033 -0.165
704.000 -1.738 0.019 0.050
124.000 4.957 -0.041 -0.168
125.000 4.946 -0.035 -0.167
126.000 4.935 -0.037 -0.171
127.000 4.925 -0.041 -0.166
128.000 4.913 -0.037 -0.170
129.000 4.903 -0.036 -0.168
808.000 -2.941 0.042 0.200
130.000 4.892 -0.035 -0.167
131.000 4.880 -0.039 -0.171
132.000 4.869 -0.033 -0.168
133.000 4.858 -0.037 -0.173
978.000 -4.952 0.107 0.494
134.000 4.847 -0.041 -0.171
136.000 4.824 -0.037 -0.177
137.000 4.813 -0.037 -0.174
138.000 4.802 -0.039 -0.171
139.000 4.790 -0.034 -0.177
140.000 4.779 -0.032 -0.174
368.000 2.256 -0.060 -0.164
141.000 4.769 -0.039 -0.175
167.000 4.485 -0.038 -0.189
142.000 4.759 -0.036 -0.178
270.000 3.350 -0.054 -0.183
684.000 -1.497 0.016 0.026
143.000 4.749 -0.034 -0.179
144.000 4.738 -0.038 -0.180
145.000 4.726 -0.037 -0.177
146.000 4.715 -0.034 -0.177
197.000 4.152 -0.044 -0.195
198.000 4.142 -0.048 -0.195
249.000 3.581 -0.051 -0.193
688.000 -1.545 0.017 0.030
148.000 4.693 -0.043 -0.181
200.000 4.119 -0.041 -0.198
149.000 4.682 -0.042 -0.180
150.000 4.670 -0.042 -0.180
151.000 4.660 -0.041 -0.178
153.000 4.638 -0.034 -0.185
154.000 4.628 -0.034 -0.180
155.000 4.617 -0.039 -0.183
156.000 4.607 -0.044 -0.180
157.000 4.595 -0.039 -0.182
209.000 4.018 -0.044 -0.202
158.000 4.584 -0.037 -0.187
350.000 2.453 -0.060 -0.168
159.000 4.573 -0.039 -0.184
741.000 -2.171 0.026 0.092
161.000 4.551 -0.041 -0.191
162.000 4.540 -0.041 -0.183
410.000 1.768 -0.051 -0.152
163.000 4.528 -0.044 -0.186
232.000 3.767 -0.047 -0.194
164.000 4.518 -0.043 -0.186
165.000 4.507 -0.043 -0.191
607.000 -0.581 -0.005 -0.055
166.000 4.497 -0.044 -0.189
454.000 1.245 -0.037 -0.148
168.000 4.474 -0.042 -0.187
768.000 -2.478 0.032 0.139
1033.000 -5.613 0.143 0.635
169.000 4.462 -0.037 -0.195
225.000 3.844 -0.051 -0.196
170.000 4.453 -0.043 -0.191
171.000 4.441 -0.040 -0.189
172.000 4.430 -0.040 -0.192
1066.000 -6.015 0.154 0.708
173.000 4.419 -0.041 -0.192
174.000 4.407 -0.045 -0.193
366.000 2.279 -0.059 -0.162
175.000 4.397 -0.040 -0.192
925.000 -4.333 0.093 0.399
176.000 4.386 -0.045 -0.195
177.000 4.375 -0.043 -0.192
178.000 4.364 -0.040 -0.191
179.000 4.352 -0.041 -0.197
548.000 0.116 -0.019 -0.095
182.000 4.318 -0.043 -0.197
183.000 4.306 -0.038 -0.192
917.000 -4.240 0.089 0.384
184.000 4.295 -0.040 -0.200
211.000 3.997 -0.050 -0.201
185.000 4.286 -0.046 -0.194
186.000 4.274 -0.041 -0.195
187.000 4.263 -0.040 -0.197
188.000 4.252 -0.039 -0.196
189.000 4.242 -0.042 -0.201
190.000 4.230 -0.041 -0.202
191.000 4.218 -0.043 -0.200
192.000 4.207 -0.046 -0.200
1057.000 -5.904 0.156 0.687
193.000 4.197 -0.042 -0.195
996.000 -5.165 0.111 0.535
195.000 4.175 -0.041 -0.198
196.000 4.164 -0.040 -0.202
489.000 0.822 -0.027 -0.132
199.000 4.130 -0.043 -0.200
528.000 0.349 -0.020 -0.112
201.000 4.108 -0.042 -0.197
202.000 4.096 -0.042 -0.202
203.000 4.085 -0.042 -0.202
1056.000 -5.892 0.150 0.687
204.000 4.074 -0.044 -0.200
205.000 4.064 -0.047 -0.198
206.000 4.053 -0.048 -0.197
684.000 -1.497 0.016 0.027
207.000 4.041 -0.046 -0.200
781.000 -2.628 0.031 0.163
210.000 4.008 -0.044 -0.196
678.000 -1.426 0.015 0.017
212.000 3.986 -0.044 -0.199
213.000 3.974 -0.044 -0.200
1058.000 -5.917 0.150 0.686
214.000 3.963 -0.050 -0.202
342.000 2.543 -0.062 -0.167
215.000 3.953 -0.046 -0.195
216.000 3.942 -0.044 -0.197
218.000 3.920 -0.050 -0.201
219.000 3.909 -0.044 -0.197
220.000 3.898 -0.048 -0.199
344.000 2.520 -0.058 -0.165
520.000 0.449 -0.022 -0.115
221.000 3.888 -0.049 -0.194
874.000 -3.734 0.069 0.300
222.000 3.877 -0.048 -0.198
334.000 2.629 -0.054 -0.165
223.000 3.866 -0.047 -0.193
224.000 3.855 -0.050 -0.196
226.000 3.834 -0.048 -0.193
227.000 3.823 -0.053 -0.194
228.000 3.813 -0.047 -0.192
288.000 3.151 -0.056 -0.177
229.000 3.802 -0.053 -0.193
230.000 3.790 -0.053 -0.196
619.000 -0.722 -0.001 -0.046
231.000 3.778 -0.052 -0.197
233.000 3.757 -0.049 -0.193
234.000 3.746 -0.051 -0.197
235.000 3.736 -0.051 -0.196
236.000 3.725 -0.054 -0.191
237.000 3.714 -0.051 -0.198
238.000 3.703 -0.049 -0.196
624.000 -0.782 0.000 -0.040
661.000 -1.224 0.012 0.000
239.000 3.691 -0.051 -0.196
240.000 3.681 -0.048 -0.191
644.000 -1.019 0.007 -0.020
691.000 -1.582 0.018 0.033
243.000 3.647 -0.051 -0.193
809.000 -2.953 0.042 0.202
244.000 3.637 -0.053 -0.193
304.000 2.969 -0.059 -0.171
245.000 3.626 -0.050 -0.196
298.000 3.038 -0.059 -0.170
246.000 3.615 -0.051 -0.196
438.000 1.436 -0.040 -0.149
247.000 3.604 -0.054 -0.194
248.000 3.593 -0.052 -0.191
324.000 2.741 -0.055 -0.169
444.000 1.363 -0.039 -0.147
250.000 3.571 -0.053 -0.191
455.000 1.232 -0.036 -0.147
251.000 3.560 -0.055 -0.189
865.000 -3.623 0.066 0.290
252.000 3.548 -0.054 -0.189
320.000 2.787 -0.053 -0.167
253.000 3.537 -0.051 -0.192
1098.000 -6.409 0.178 0.773
254.000 3.526 -0.053 -0.191
382.000 2.099 -0.062 -0.155
647.000 -1.055 0.006 -0.017
255.000 3.516 -0.053 -0.188
256.000 3.504 -0.057 -0.190
436.000 1.460 -0.041 -0.149
257.000 3.493 -0.054 -0.191
258.000 3.483 -0.058 -0.191
260.000 3.461 -0.054 -0.190
985.000 -5.034 0.111 0.513
261.000 3.450 -0.054 -0.186
262.000 3.438 -0.054 -0.187
263.000 3.427 -0.056 -0.188
264.000 3.415 -0.058 -0.187
265.000 3.405 -0.053 -0.189
266.000 3.394 -0.059 -0.188
686.000 -1.521 0.018 0.028
267.000 3.384 -0.058 -0.188
268.000 3.373 -0.057 -0.185
269.000 3.361 -0.054 -0.188
271.000 3.339 -0.054 -0.188
272.000 3.328 -0.059 -0.185
273.000 3.317 -0.055 -0.182
274.000 3.306 -0.059 -0.186
275.000 3.295 -0.060 -0.184
276.000 3.284 -0.057 -0.180
277.000 3.273 -0.059 -0.179
278.000 3.262 -0.060 -0.180
279.000 3.251 -0.060 -0.181
1078.000 -6.162 0.162 0.742
280.000 3.240 -0.061 -0.183
771.000 -2.514 0.031 0.141
776.000 -2.570 0.029 0.151
281.000 3.230 -0.060 -0.181
282.000 3.218 -0.060 -0.180
283.000 3.206 -0.056 -0.176
625.000 -0.794 0.001 -0.040
284.000 3.195 -0.059 -0.179
675.000 -1.389 0.014 0.016
285.000 3.184 -0.059 -0.178
286.000 3.173 -0.055 -0.178
287.000 3.162 -0.055 -0.177
289.000 3.141 -0.058 -0.175
291.000 3.118 -0.056 -0.176
569.000 -0.131 -0.014 -0.082
636.000 -0.925 0.003 -0.029
293.000 3.095 -0.059 -0.173
387.000 2.041 -0.059 -0.157
294.000 3.083 -0.059 -0.173
295.000 3.071 -0.058 -0.176
296.000 3.059 -0.053 -0.174
779.000 -2.604 0.033 0.159
297.000 3.048 -0.055 -0.173
353.000 2.421 -0.058 -0.167
299.000 3.027 -0.055 -0.171
300.000 3.014 -0.055 -0.173
301.000 3.003 -0.056 -0.171
302.000 2.992 -0.057 -0.171
370.000 2.234 -0.061 -0.160
303.000 2.981 -0.059 -0.175
305.000 2.958 -0.055 -0.169
307.000 2.935 -0.059 -0.172
308.000 2.923 -0.054 -0.166
310.000 2.900 -0.054 -0.171
311.000 2.889 -0.056 -0.168
312.000 2.877 -0.053 -0.170
313.000 2.866 -0.057 -0.170
706.000 -1.761 0.021 0.053
314.000 2.855 -0.055 -0.170
315.000 2.843 -0.053 -0.169
316.000 2.832 -0.054 -0.165
317.000 2.820 -0.056 -0.167
318.000 2.809 -0.056 -0.166
319.000 2.797 -0.056 -0.167
321.000 2.775 -0.057 -0.169
322.000 2.764 -0.055 -0.167
323.000 2.752 -0.053 -0.170
650.000 -1.090 0.008 -0.014
325.000 2.730 -0.054 -0.166
326.000 2.719 -0.055 -0.169
327.000 2.708 -0.056 -0.168
328.000 2.697 -0.055 -0.167
329.000 2.686 -0.059 -0.164
498.000 0.715 -0.026 -0.126
330.000 2.675 -0.055 -0.169
331.000 2.663 -0.055 -0.166
635.000 -0.913 0.004 -0.031
332.000 2.651 -0.058 -0.168
1015.000 -5.394 0.132 0.585
333.000 2.640 -0.055 -0.167
792.000 -2.753 0.035 0.178
335.000 2.619 -0.057 -0.169
557.000 0.010 -0.016 -0.089
336.000 2.608 -0.057 -0.167
337.000 2.597 -0.056 -0.166
796.000 -2.799 0.038 0.184
338.000 2.586 -0.056 -0.167
339.000 2.575 -0.058 -0.169
340.000 2.565 -0.060 -0.164
523.000 0.411 -0.023 -0.113
341.000 2.553 -0.058 -0.167
343.000 2.531 -0.056 -0.164
345.000 2.509 -0.062 -0.167
690.000 -1.570 0.018 0.034
346.000 2.498 -0.061 -0.168
466.000 1.100 -0.032 -0.143
616.000 -0.686 -0.001 -0.048
347.000 2.487 -0.058 -0.166
381.000 2.111 -0.059 -0.157
722.000 -1.952 0.026 0.070
348.000 2.476 -0.061 -0.170
841.000 -3.335 0.052 0.252
349.000 2.464 -0.061 -0.168
351.000 2.443 -0.059 -0.166
772.000 -2.525 0.032 0.146
352.000 2.432 -0.058 -0.164
845.000 -3.383 0.053 0.254
354.000 2.411 -0.058 -0.165
355.000 2.399 -0.060 -0.167
676.000 -1.402 0.015 0.016
356.000 2.388 -0.062 -0.164
357.000 2.376 -0.061 -0.165
358.000 2.365 -0.057 -0.163
359.000 2.354 -0.057 -0.166
1087.000 -6.272 0.171 0.761
360.000 2.344 -0.060 -0.162
362.000 2.323 -0.061 -0.162
418.000 1.673 -0.046 -0.149
473.000 1.014 -0.031 -0.140
363.000 2.313 -0.063 -0.162
364.000 2.302 -0.060 -0.164
793.000 -2.765 0.033 0.182
1085.000 -6.247 0.163 0.761
365.000 2.291 -0.061 -0.163
367.000 2.267 -0.061 -0.161
369.000 2.246 -0.061 -0.161
371.000 2.222 -0.063 -0.159
372.000 2.212 -0.061 -0.159
486.000 0.856 -0.027 -0.132
373.000 2.201 -0.061 -0.159
712.000 -1.833 0.023 0.059
374.000 2.190 -0.059 -0.161
442.000 1.387 -0.037 -0.147
375.000 2.179 -0.062 -0.161
597.000 -0.463 -0.007 -0.061
637.000 -0.937 0.004 -0.029
376.000 2.167 -0.061 -0.158
378.000 2.143 -0.060 -0.160
379.000 2.132 -0.061 -0.160
380.000 2.122 -0.060 -0.156
748.000 -2.252 0.026 0.105
383.000 2.088 -0.060 -0.155
493.000 0.774 -0.027 -0.129
645.000 -1.031 0.005 -0.020
384.000 2.076 -0.058 -0.156
385.000 2.063 -0.060 -0.157
386.000 2.053 -0.058 -0.155
388.000 2.030 -0.057 -0.157
389.000 2.018 -0.056 -0.156
390.000 2.006 -0.057 -0.155
913.000 -4.194 0.083 0.377
391.000 1.995 -0.058 -0.156
392.000 1.984 -0.057 -0.153
393.000 1.972 -0.055 -0.154
394.000 1.960 -0.057 -0.154
395.000 1.948 -0.054 -0.153
397.000 1.925 -0.056 -0.155
398.000 1.913 -0.053 -0.152
399.000 1.901 -0.052 -0.153
474.000 1.002 -0.029 -0.141
400.000 1.889 -0.055 -0.155
487.000 0.844 -0.026 -0.133
504.000 0.641 -0.025 -0.122
580.000 -0.260 -0.013 -0.075
680.000 -1.450 0.016 0.020
401.000 1.877 -0.052 -0.152
402.000 1.864 -0.053 -0.154
403.000 1.853 -0.052 -0.152
515.000 0.509 -0.025 -0.114
404.000 1.840 -0.052 -0.153
405.000 1.828 -0.049 -0.152
864.000 -3.611 0.059 0.287
898.000 -4.017 0.078 0.350
406.000 1.816 -0.050 -0.152
407.000 1.804 -0.048 -0.152
408.000 1.793 -0.050 -0.152
409.000 1.781 -0.048 -0.151
411.000 1.756 -0.049 -0.152
412.000 1.745 -0.049 -0.151
464.000 1.124 -0.032 -0.143
414.000 1.721 -0.049 -0.151
415.000 1.709 -0.048 -0.153
416.000 1.696 -0.045 -0.150
428.000 1.555 -0.042 -0.147
417.000 1.686 -0.045 -0.148
419.000 1.661 -0.045 -0.150
516.000 0.497 -0.025 -0.115
420.000 1.650 -0.046 -0.150
421.000 1.637 -0.044 -0.149
422.000 1.625 -0.042 -0.149
423.000 1.614 -0.044 -0.148
424.000 1.602 -0.042 -0.150
425.000 1.591 -0.043 -0.149
764.000 -2.435 0.028 0.132
426.000 1.579 -0.045 -0.149
427.000 1.566 -0.044 -0.150
480.000 0.932 -0.031 -0.136
430.000 1.531 -0.042 -0.148
431.000 1.518 -0.040 -0.148
432.000 1.507 -0.039 -0.147
433.000 1.494 -0.039 -0.148
782.000 -2.639 0.033 0.163
434.000 1.483 -0.039 -0.148
435.000 1.471 -0.041 -0.148
437.000 1.448 -0.039 -0.146
440.000 1.410 -0.040 -0.149
441.000 1.399 -0.038 -0.149
443.000 1.375 -0.037 -0.148
588.000 -0.356 -0.009 -0.069
445.000 1.351 -0.035 -0.146
446.000 1.340 -0.036 -0.144
447.000 1.329 -0.037 -0.146
448.000 1.319 -0.040 -0.147
449.000 1.306 -0.037 -0.146
798.000 -2.823 0.036 0.186
844.000 -3.371 0.050 0.251
450.000 1.293 -0.036 -0.147
776.000 -2.570 0.029 0.151
451.000 1.280 -0.035 -0.146
501.000 0.679 -0.026 -0.124
986.000 -5.047 0.111 0.512
452.000 1.269 -0.035 -0.147
453.000 1.257 -0.036 -0.145
456.000 1.220 -0.035 -0.148
725.000 -1.988 0.027 0.074
457.000 1.208 -0.034 -0.147
916.000 -4.228 0.084 0.385
458.000 1.197 -0.033 -0.144
689.000 -1.557 0.018 0.032
459.000 1.185 -0.033 -0.145
460.000 1.173 -0.034 -0.145
461.000 1.160 -0.033 -0.145
463.000 1.135 -0.031 -0.144
465.000 1.111 -0.032 -0.144
468.000 1.076 -0.033 -0.142
641.000 -0.985 0.005 -0.024
469.000 1.063 -0.031 -0.142
470.000 1.051 -0.032 -0.140
471.000 1.039 -0.032 -0.142
472.000 1.026 -0.030 -0.141
855.000 -3.504 0.056 0.272
475.000 0.990 -0.030 -0.138
571.000 -0.153 -0.015 -0.079
476.000 0.978 -0.029 -0.139
477.000 0.967 -0.030 -0.138
478.000 0.955 -0.030 -0.139
479.000 0.944 -0.031 -0.136
480.000 0.932 -0.032 -0.136
876.000 -3.756 0.072 0.305
878.000 -3.780 0.068 0.312
481.000 0.920 -0.030 -0.134
481.000 0.920 -0.030 -0.134
482.000 0.907 -0.028 -0.136
482.000 0.907 -0.028 -0.136
564.000 -0.072 -0.015 -0.084
669.000 -1.319 0.014 0.007
483.000 0.895 -0.029 -0.135
483.000 0.895 -0.029 -0.134
484.000 0.882 -0.027 -0.135
484.000 0.882 -0.027 -0.133
983.000 -5.010 0.114 0.509
485.000 0.868 -0.027 -0.133
497.000 0.726 -0.027 -0.127
485.000 0.869 -0.028 -0.132
1009.000 -5.320 0.123 0.569
486.000 0.856 -0.027 -0.132
810.000 -2.964 0.040 0.203
824.000 -3.132 0.042 0.222
488.000 0.833 -0.026 -0.133
490.000 0.809 -0.027 -0.132
490.000 0.809 -0.027 -0.132
491.000 0.797 -0.026 -0.131
491.000 0.797 -0.026 -0.130
492.000 0.786 -0.027 -0.129
493.000 0.774 -0.027 -0.129
494.000 0.762 -0.026 -0.129
494.000 0.762 -0.026 -0.129
495.000 0.750 -0.027 -0.129
496.000 0.738 -0.026 -0.126
496.000 0.737 -0.026 -0.128
498.000 0.715 -0.026 -0.126
907.000 -4.123 0.085 0.362
499.000 0.703 -0.026 -0.125
499.000 0.703 -0.026 -0.125
500.000 0.691 -0.026 -0.125
850.000 -3.443 0.056 0.262
912.000 -4.180 0.088 0.378
976.000 -4.928 0.108 0.495
500.000 0.691 -0.026 -0.125
501.000 0.679 -0.026 -0.124
502.000 0.666 -0.025 -0.123
703.000 -1.726 0.019 0.048
502.000 0.666 -0.025 -0.123
596.000 -0.450 -0.007 -0.063
503.000 0.653 -0.026 -0.123
503.000 0.654 -0.026 -0.122
759.000 -2.378 0.030 0.123
803.000 -2.881 0.036 0.196
504.000 0.641 -0.026 -0.122
505.000 0.630 -0.025 -0.123
505.000 0.630 -0.025 -0.123
