#FRAME_ID, X, Y, Z
103.000 -0.724 -0.015 -0.191
188.000 6.276 0.109 1.280
140.000 2.331 0.006 0.319
167.000 4.545 0.068 0.839
63.000 -3.892 -0.032 -0.514
40.000 -5.810 -0.057 -0.601
41.000 -5.720 -0.055 -0.593
60.000 -4.172 -0.036 -0.524
180.000 5.627 0.086 1.103
141.000 2.420 0.013 0.343
126.000 1.174 -0.005 0.069
160.000 3.961 0.058 0.689
127.000 1.268 0.001 0.084
163.000 4.231 0.064 0.756
164.000 4.321 0.062 0.780
81.000 -2.481 -0.019 -0.391
78.000 -2.728 -0.024 -0.419
83.000 -2.339 -0.016 -0.376
65.000 -3.764 -0.031 -0.503
36.000 -6.127 -0.075 -0.615
58.000 -4.301 -0.032 -0.528
37.000 -6.030 -0.058 -0.613
38.000 -5.954 -0.063 -0.619
39.000 -5.898 -0.073 -0.616
52.000 -4.824 -0.039 -0.547
42.000 -5.631 -0.060 -0.593
43.000 -5.544 -0.054 -0.587
56.000 -4.489 -0.041 -0.533
44.000 -5.461 -0.061 -0.572
45.000 -5.394 -0.056 -0.577
46.000 -5.341 -0.054 -0.563
47.000 -5.255 -0.051 -0.560
99.000 -1.032 -0.016 -0.220
48.000 -5.167 -0.057 -0.547
49.000 -5.076 -0.049 -0.550
50.000 -4.990 -0.053 -0.544
51.000 -4.902 -0.047 -0.549
53.000 -4.770 -0.037 -0.537
54.000 -4.675 -0.042 -0.532
86.000 -2.071 -0.019 -0.352
112.000 0.023 -0.007 -0.113
55.000 -4.578 -0.041 -0.540
145.000 2.641 0.017 0.399
57.000 -4.397 -0.042 -0.534
59.000 -4.228 -0.029 -0.523
61.000 -4.076 -0.026 -0.526
62.000 -3.984 -0.026 -0.524
114.000 0.194 -0.012 -0.081
64.000 -3.800 -0.030 -0.505
66.000 -3.674 -0.036 -0.501
108.000 -0.305 -0.015 -0.146
67.000 -3.580 -0.035 -0.490
68.000 -3.490 -0.033 -0.485
90.000 -1.761 -0.014 -0.310
69.000 -3.400 -0.033 -0.479
70.000 -3.304 -0.026 -0.469
71.000 -3.268 -0.022 -0.463
72.000 -3.181 -0.032 -0.454
174.000 5.125 0.075 0.988
73.000 -3.125 -0.027 -0.457
175.000 5.213 0.068 1.009
74.000 -3.052 -0.023 -0.451
75.000 -3.000 -0.028 -0.446
115.000 0.267 -0.008 -0.072
76.000 -2.909 -0.027 -0.444
77.000 -2.816 -0.021 -0.433
129.000 1.432 -0.004 0.113
79.000 -2.639 -0.024 -0.409
80.000 -2.549 -0.017 -0.403
82.000 -2.429 -0.023 -0.385
84.000 -2.252 -0.016 -0.363
85.000 -2.161 -0.022 -0.360
87.000 -1.999 -0.024 -0.344
113.000 0.110 -0.005 -0.094
88.000 -1.944 -0.027 -0.339
89.000 -1.853 -0.018 -0.327
91.000 -1.673 -0.020 -0.297
92.000 -1.584 -0.014 -0.286
93.000 -1.503 -0.017 -0.274
94.000 -1.439 -0.019 -0.264
146.000 2.732 0.023 0.418
95.000 -1.385 -0.014 -0.254
111.000 -0.068 -0.008 -0.124
96.000 -1.298 -0.016 -0.243
97.000 -1.207 -0.019 -0.234
98.000 -1.118 -0.012 -0.228
122.000 0.846 -0.002 0.013
154.000 3.446 0.036 0.580
100.000 -0.943 -0.017 -0.213
132.000 1.677 0.009 0.168
101.000 -0.871 -0.011 -0.203
102.000 -0.816 -0.013 -0.197
104.000 -0.636 -0.010 -0.185
105.000 -0.551 -0.016 -0.175
177.000 5.403 0.078 1.050
106.000 -0.463 -0.015 -0.168
107.000 -0.375 -0.009 -0.155
109.000 -0.249 -0.015 -0.142
181.000 5.719 0.091 1.126
110.000 -0.156 -0.006 -0.134
162.000 4.141 0.060 0.740
116.000 0.320 -0.003 -0.063
117.000 0.401 -0.006 -0.050
149.000 3.019 0.029 0.490
118.000 0.487 -0.005 -0.037
119.000 0.580 -0.004 -0.019
171.000 4.915 0.076 0.937
120.000 0.676 -0.009 -0.007
121.000 0.776 -0.007 0.005
123.000 0.900 -0.006 0.021
124.000 0.992 -0.002 0.035
172.000 4.984 0.071 0.952
125.000 1.081 0.001 0.055
128.000 1.357 -0.004 0.100
130.000 1.486 0.006 0.124
131.000 1.583 0.009 0.149
144.000 2.551 0.019 0.376
133.000 1.764 0.015 0.189
134.000 1.856 0.008 0.205
135.000 1.948 0.012 0.221
161.000 4.053 0.056 0.714
136.000 2.019 0.013 0.241
137.000 2.073 0.012 0.257
158.000 3.812 0.042 0.647
138.000 2.160 0.008 0.279
139.000 2.244 0.012 0.297
142.000 2.456 0.015 0.356
143.000 2.514 0.017 0.369
147.000 2.828 0.020 0.441
148.000 2.922 0.026 0.466
150.000 3.114 0.028 0.508
151.000 3.190 0.033 0.526
152.000 3.247 0.036 0.538
153.000 3.348 0.031 0.553
155.000 3.543 0.039 0.599
156.000 3.641 0.045 0.614
157.000 3.736 0.047 0.637
159.000 3.866 0.049 0.665
185.000 6.065 0.113 1.231
165.000 4.394 0.070 0.802
166.000 4.449 0.072 0.822
168.000 4.642 0.071 0.865
169.000 4.735 0.067 0.879
170.000 4.825 0.064 0.910
173.000 5.038 0.071 0.963
176.000 5.305 0.080 1.028
178.000 5.496 0.080 1.078
179.000 5.571 0.089 1.097
182.000 5.810 0.093 1.152
183.000 5.898 0.106 1.180
184.000 5.979 0.108 1.206
186.000 6.138 0.104 1.243
187.000 6.189 0.104 1.257
