#FRAME_ID, X, Y, Z
121.000 -3.276 0.054 0.491
240.000 -0.394 -0.001 0.193
90.000 -3.995 0.088 0.525
91.000 -3.970 0.083 0.521
93.000 -3.924 0.077 0.518
94.000 -3.908 0.080 0.523
95.000 -3.882 0.083 0.522
363.000 2.424 -0.055 -0.369
96.000 -3.855 0.079 0.527
253.000 -0.101 -0.009 0.162
98.000 -3.804 0.077 0.523
99.000 -3.781 0.076 0.526
151.000 -2.585 0.035 0.464
105.000 -3.646 0.071 0.517
213.000 -1.050 0.009 0.300
138.000 -2.869 0.042 0.471
106.000 -3.622 0.068 0.513
107.000 -3.601 0.070 0.513
227.000 -0.717 0.001 0.243
108.000 -3.585 0.069 0.514
160.000 -2.348 0.031 0.448
109.000 -3.559 0.067 0.513
110.000 -3.533 0.062 0.511
112.000 -3.485 0.061 0.507
370.000 2.591 -0.056 -0.408
500.000 5.466 -0.036 -1.328
113.000 -3.459 0.059 0.508
161.000 -2.320 0.031 0.446
114.000 -3.439 0.060 0.505
478.000 4.999 -0.044 -1.179
117.000 -3.372 0.055 0.497
119.000 -3.320 0.057 0.494
222.000 -0.833 0.007 0.264
120.000 -3.297 0.053 0.491
308.000 1.158 -0.039 -0.075
122.000 -3.260 0.050 0.494
123.000 -3.237 0.050 0.494
303.000 1.049 -0.037 -0.052
124.000 -3.212 0.050 0.488
150.000 -2.611 0.034 0.467
125.000 -3.185 0.052 0.493
230.000 -0.636 0.002 0.228
126.000 -3.158 0.047 0.489
127.000 -3.129 0.046 0.486
128.000 -3.110 0.044 0.482
129.000 -3.094 0.048 0.481
180.000 -1.857 0.023 0.412
181.000 -1.832 0.020 0.407
216.000 -0.981 0.008 0.287
131.000 -3.042 0.043 0.479
183.000 -1.777 0.020 0.401
132.000 -3.016 0.041 0.476
133.000 -2.988 0.043 0.477
214.000 -1.034 0.010 0.297
244.000 -0.323 -0.005 0.182
218.000 -0.927 0.008 0.280
134.000 -2.963 0.040 0.475
230.000 -0.637 0.002 0.229
252.000 -0.126 -0.007 0.166
136.000 -2.925 0.041 0.473
137.000 -2.896 0.042 0.475
300.000 0.976 -0.034 -0.028
139.000 -2.842 0.044 0.473
140.000 -2.816 0.039 0.469
192.000 -1.561 0.019 0.375
141.000 -2.790 0.038 0.469
285.000 0.630 -0.025 0.036
142.000 -2.769 0.041 0.465
144.000 -2.727 0.035 0.466
145.000 -2.701 0.036 0.467
346.000 2.030 -0.051 -0.259
146.000 -2.675 0.032 0.469
207.000 -1.208 0.011 0.325
147.000 -2.649 0.032 0.467
174.000 -1.999 0.024 0.422
148.000 -2.639 0.033 0.466
331.000 1.697 -0.046 -0.181
410.000 3.491 -0.059 -0.682
149.000 -2.622 0.033 0.466
377.000 2.752 -0.059 -0.460
153.000 -2.530 0.031 0.460
154.000 -2.501 0.035 0.464
202.000 -1.324 0.014 0.343
155.000 -2.472 0.032 0.463
311.000 1.218 -0.040 -0.086
156.000 -2.446 0.032 0.458
157.000 -2.423 0.032 0.457
301.000 1.001 -0.036 -0.035
158.000 -2.407 0.029 0.453
159.000 -2.378 0.031 0.448
162.000 -2.292 0.028 0.442
487.000 5.189 -0.040 -1.234
165.000 -2.226 0.029 0.437
166.000 -2.199 0.029 0.434
167.000 -2.171 0.029 0.434
193.000 -1.546 0.020 0.371
168.000 -2.145 0.030 0.434
169.000 -2.119 0.029 0.431
170.000 -2.092 0.029 0.427
171.000 -2.070 0.029 0.430
172.000 -2.054 0.028 0.427
173.000 -2.026 0.027 0.426
175.000 -1.972 0.023 0.418
375.000 2.702 -0.059 -0.440
250.000 -0.178 -0.006 0.169
176.000 -1.946 0.022 0.416
231.000 -0.610 0.002 0.224
247.000 -0.242 -0.005 0.175
178.000 -1.898 0.022 0.414
215.000 -1.007 0.009 0.291
179.000 -1.883 0.022 0.414
414.000 3.588 -0.061 -0.707
184.000 -1.750 0.021 0.396
185.000 -1.729 0.022 0.393
186.000 -1.713 0.019 0.390
187.000 -1.686 0.019 0.386
254.000 -0.076 -0.010 0.158
189.000 -1.632 0.021 0.381
251.000 -0.152 -0.008 0.167
190.000 -1.609 0.020 0.379
193.000 -1.546 0.021 0.371
